HDR|08|2019
intor00000153097307|ioreg00000153097307|DTTBS|100.0
intor00000148318347|ioreg00000148318347|FAYHM|100.0
intor00000155533791|ioreg00000155533791|FWBBH|100.0
intor00000148380899|ioreg00000148380899|BHMAP|100.0
intor00000150614070|ioreg00000150614070|WASHV|100.0
intor00000156935070|ioreg00000156935070|MKEHI|100.0
intor00000151353289|ioreg00000151353289|LIMMP|100.0
intor00000154240042|ioreg00000154240042|SLCDL|50.0
intor00000154472411|ioreg00000154472411|WSKRI|100.0
intor00000157176617|ioreg00000157176617|MOTAV|60.0
intor00000156395690|ioreg00000156395690|PCYHI|30.0
intor00000157046693|ioreg00000157046693|JAXAU|50.0
intor00000153175688|ioreg00000153175688|YVRBM|100.0
intor00000157173285|ioreg00000157173285|CKBFM|100.0
intor00000148144077|ioreg00000148144077|LBLLA|100.0
intor00000155677857|ioreg00000155677857|RSTSB|100.0
intor00000152772762|ioreg00000152772762|BHMBM|100.0
intor00000156380212|ioreg00000156380212|NYCAV|30.0
intor00000154256284|ioreg00000154256284|GDLUN|100.0
intor00000157546829|ioreg00000157546829|MAZPR|60.0
intor00000149078277|ioreg00000149078277|INDSS|100.0
intor00000155031282|ioreg00000155031282|TLUZO|30.0
intor00000155654761|ioreg00000155654761|MTYSN|100.0
intor00000154342358|ioreg00000154342358|COIAA|100.0
intor00000155598855|ioreg00000155598855|MCOJY|100.0
intor00000152643818|ioreg00000152643818|ELDED|100.0
intor00000154240015|ioreg00000154240015|ANCPA|50.0
intor00000154164778|ioreg00000154164778|CLTJR|100.0
intor00000154922209|ioreg00000154922209|VERCT|50.0
intor00000155677868|ioreg00000155677868|CAEHD|50.0
intor00000152344149|ioreg00000152344149|DWDVA|100.0
intor00000154575266|ioreg00000154575266|APNES|100.0
intor00000154273693|ioreg00000154273693|MSPAV|100.0
intor00000157152697|ioreg00000157152697|SGHIL|60.0
intor00000153177671|ioreg00000153177671|YYZHX|50.0
intor00000153053745|ioreg00000153053745|DTTRN|100.0
intor00000154239613|ioreg00000154239613|ORDBM|50.0
intor00000155154525|ioreg00000155154525|MQEMX|30.0
intor00000157152695|ioreg00000157152695|SGHIL|60.0
intor00000154240135|ioreg00000154240135|AYBCA|100.0
intor00000156618740|ioreg00000156618740|MKCTD|60.0
intor00000157430216|ioreg00000157430216|HERMX|100.0
intor00000157546827|ioreg00000157546827|MAZPR|60.0
intor00000154240099|ioreg00000154240099|JAXBB|50.0
intor00000149065483|ioreg00000149065483|FOEHS|100.0
intor00000157546828|ioreg00000157546828|MAZPR|60.0
intor00000155994253|ioreg00000155994253|LAPHE|100.0
intor00000151293979|ioreg00000151293979|CHIBS|100.0
intor00000155506240|ioreg00000155506240|SLWGP|100.0
intor00000154153861|ioreg00000154153861|YYZAV|150.0
intor00000153507822|ioreg00000153507822|DALVV|100.0
intor00000146974630|ioreg00000146974630|SCLEX|100.0
intor00000149574874|ioreg00000149574874|BHMBM|100.0
intor00000151741611|ioreg00000151741611|BEHSH|100.0
intor00000155755569|ioreg00000155755569|MNCTN|100.0
intor00000146677771|ioreg00000146677771|GVEKB|100.0
intor00000154239895|ioreg00000154239895|BWGSS|50.0
intor00000154811624|ioreg00000154811624|YWGSO|150.0
intor00000154239928|ioreg00000154239928|HBITD|50.0
intor00000157444852|ioreg00000157444852|MEXRE|100.0
intor00000148241709|ioreg00000148241709|ETSAL|100.0
intor00000152139958|ioreg00000152139958|YCACN|100.0
intor00000154240063|ioreg00000154240063|ELPSD|100.0
intor00000147629906|ioreg00000147629906|SLFMS|100.0
intor00000154922235|ioreg00000154922235|WMCNV|50.0
intor00000157173183|ioreg00000157173183|AGSBR|100.0
intor00000156764231|ioreg00000156764231|INDFI|60.0
intor00000154922241|ioreg00000154922241|MIAEP|50.0
intor00000156644250|ioreg00000156644250|SADNJ|60.0
intor00000154922212|ioreg00000154922212|WASHA|100.0
intor00000154459558|ioreg00000154459558|TPAAP|50.0
intor00000150741041|ioreg00000150741041|YHZDJ|150.0
intor00000154916885|ioreg00000154916885|YQVBE|50.0
intor00000156518921|ioreg00000156518921|AHNCM|30.0
intor00000158068494|ioreg00000158068494|DALTP|100.0
intor00000157555089|ioreg00000157555089|OCHNT|50.0
intor00000156368789|ioreg00000156368789|ROAOA|30.0
intor00000154239987|ioreg00000154239987|OSBMO|100.0
intor00000156368348|ioreg00000156368348|YYZWB|30.0
intor00000154240093|ioreg00000154240093|DTTES|100.0
intor00000149841700|ioreg00000149841700|DFWGS|100.0
intor00000154455305|ioreg00000154455305|MDEHA|50.0
intor00000154240021|ioreg00000154240021|CVGML|100.0
intor00000158073711|ioreg00000158073711|BURMP|100.0
intor00000152137758|ioreg00000152137758|GLSEN|100.0
intor00000156370574|ioreg00000156370574|BTRYO|30.0
intor00000156254276|ioreg00000156254276|INDES|100.0
intor00000148595958|ioreg00000148595958|CVGAV|100.0
intor00000154350909|ioreg00000154350909|MKCGV|100.0
intor00000152352505|ioreg00000152352505|ATLTM|100.0
intor00000157562465|ioreg00000157562465|FYVWJ|50.0
intor00000154239972|ioreg00000154239972|WASBS|50.0
intor00000154249104|ioreg00000154249104|ATMOR|100.0
intor00000147380523|ioreg00000147380523|BTWCA|100.0
intor00000155677875|ioreg00000155677875|DKSON|100.0
intor00000156392987|ioreg00000156392987|BHZBH|30.0
intor00000153627083|ioreg00000153627083|PGFTL|100.0
intor00000154577723|ioreg00000154577723|VANIL|50.0
intor00000152396005|ioreg00000152396005|YULCA|100.0
intor00000148158728|ioreg00000148158728|WVCHI|50.0
intor00000150624846|ioreg00000150624846|VSAVH|100.0
intor00000154831734|ioreg00000154831734|OMAFC|100.0
intor00000154496563|ioreg00000154496563|ATLAR|100.0
intor00000155476595|ioreg00000155476595|NYCAS|100.0
intor00000154239622|ioreg00000154239622|EKIST|100.0
intor00000148444279|ioreg00000148444279|HIAGA|100.0
intor00000150715491|ioreg00000150715491|EKINO|100.0
intor00000155144087|ioreg00000155144087|TYSPM|100.0
intor00000155139986|ioreg00000155139986|MEXHA|100.0
intor00000155261090|ioreg00000155261090|CHAER|100.0
intor00000158310101|ioreg00000158310101|DFWNH|100.0
intor00000156361194|ioreg00000156361194|YOODT|30.0
intor00000155034454|ioreg00000155034454|YLLSK|100.0
intor00000153507506|ioreg00000153507506|BKRRH|100.0
intor00000154240087|ioreg00000154240087|SGHSS|100.0
intor00000155127591|ioreg00000155127591|ZYLEA|100.0
intor00000154239963|ioreg00000154239963|SEAMV|50.0
intor00000153214417|ioreg00000153214417|HOUMS|100.0
intor00000156275734|ioreg00000156275734|SEAAB|50.0
intor00000153675253|ioreg00000153675253|AUSRR|100.0
intor00000150780672|ioreg00000150780672|PHXWB|100.0
intor00000156387120|ioreg00000156387120|LEXAC|30.0
intor00000148454262|ioreg00000148454262|JASES|50.0
intor00000154907926|ioreg00000154907926|MGAGD|30.0
intor00000152132986|ioreg00000152132986|PLSGC|100.0
intor00000155166560|ioreg00000155166560|PGASV|100.0
intor00000151760108|ioreg00000151760108|YYCDM|100.0
intor00000158085700|ioreg00000158085700|ISMML|100.0
intor00000151880254|ioreg00000151880254|SKACW|100.0
intor00000156017383|ioreg00000156017383|ANCAA|100.0
intor00000153214431|ioreg00000153214431|BHMQR|50.0
intor00000148572372|ioreg00000148572372|PHXMZ|100.0
intor00000155987289|ioreg00000155987289|TRYOH|100.0
intor00000154469810|ioreg00000154469810|STLHI|100.0
intor00000156645401|ioreg00000156645401|SADNJ|60.0
intor00000152945573|ioreg00000152945573|TXKHI|100.0
intor00000155477064|ioreg00000155477064|MTLNJ|50.0
intor00000156064092|ioreg00000156064092|TRYOH|50.0
intor00000154605777|ioreg00000154605777|MIAHG|100.0
intor00000154483797|ioreg00000154483797|BHMBS|50.0
intor00000154239975|ioreg00000154239975|PTNMG|50.0
intor00000154460062|ioreg00000154460062|MGMCP|100.0
intor00000153806778|ioreg00000153806778|ARKXS|100.0
intor00000156254296|ioreg00000156254296|MCOJY|100.0
intor00000155155293|ioreg00000155155293|YGKES|150.0
intor00000155241878|ioreg00000155241878|SANEX|100.0
intor00000147473467|ioreg00000147473467|YVRIA|150.0
intor00000149017829|ioreg00000149017829|DFWPN|100.0
intor00000157173186|ioreg00000157173186|VVVCA|100.0
intor00000152344125|ioreg00000152344125|DFWPN|100.0
intor00000151759049|ioreg00000151759049|YYCDM|50.0
intor00000156764230|ioreg00000156764230|INDFI|60.0
intor00000157167134|ioreg00000157167134|YKMYW|100.0
intor00000155331259|ioreg00000155331259|TXKGN|100.0
intor00000146210375|ioreg00000146210375|LAPGO|100.0
intor00000157418138|ioreg00000157418138|BJXGC|100.0
intor00000154240027|ioreg00000154240027|WDGKF|50.0
intor00000157778700|ioreg00000157778700|CGSSS|100.0
intor00000157546830|ioreg00000157546830|MAZPR|60.0
intor00000151175465|ioreg00000151175465|BLHEX|100.0
intor00000146559142|ioreg00000146559142|ROWNM|100.0
intor00000152637353|ioreg00000152637353|INTMS|100.0
intor00000154239684|ioreg00000154239684|LAXLB|100.0
intor00000154458842|ioreg00000154458842|HOUUS|50.0
intor00000157955504|ioreg00000157955504|MZTMS|100.0
intor00000153742157|ioreg00000153742157|LMMLS|100.0
intor00000156771693|ioreg00000156771693|OTROR|100.0
intor00000152239251|ioreg00000152239251|GADAV|50.0
intor00000148734663|ioreg00000148734663|LAXWM|100.0
intor00000156514916|ioreg00000156514916|WWRCW|100.0
intor00000155040019|ioreg00000155040019|MGAJS|100.0
intor00000154384882|ioreg00000154384882|GLSEN|100.0
intor00000155677902|ioreg00000155677902|CHICI|100.0
intor00000153910300|ioreg00000153910300|SUXAV|30.0
intor00000157432508|ioreg00000157432508|ATLRS|100.0
intor00000155755554|ioreg00000155755554|BNAGO|100.0
intor00000155241881|ioreg00000155241881|HGRBW|100.0
intor00000155482026|ioreg00000155482026|ATLRS|50.0
intor00000158326587|ioreg00000158326587|MTYSP|50.0
intor00000154479588|ioreg00000154479588|GLBXS|100.0
intor00000155480297|ioreg00000155480297|WASDY|30.0
intor00000152923203|ioreg00000152923203|BHMAP|100.0
intor00000153283498|ioreg00000153283498|BELCA|50.0
intor00000156254292|ioreg00000156254292|SLCLT|100.0
intor00000154045789|ioreg00000154045789|CRTFL|100.0
intor00000157545089|ioreg00000157545089|REXMX|100.0
intor00000155409119|ioreg00000155409119|YULCA|100.0
intor00000154459705|ioreg00000154459705|HCFLD|100.0
intor00000156376660|ioreg00000156376660|LAWAT|30.0
intor00000154239918|ioreg00000154239918|ATLMU|50.0
intor00000156919281|ioreg00000156919281|BOGAP|100.0
intor00000155619576|ioreg00000155619576|GNWIN|50.0
intor00000154240012|ioreg00000154240012|DVNMS|100.0
intor00000154239688|ioreg00000154239688|AUSMN|50.0
intor00000150749931|ioreg00000150749931|AVLPA|50.0
intor00000154249114|ioreg00000154249114|HOBCD|100.0
intor00000157439750|ioreg00000157439750|BWGSB|50.0
intor00000156277394|ioreg00000156277394|LWCOT|30.0
intor00000155040468|ioreg00000155040468|MQERG|100.0
intor00000150814024|ioreg00000150814024|YEGEM|100.0
intor00000154240138|ioreg00000154240138|YYZBM|50.0
intor00000156006290|ioreg00000156006290|MGCMI|30.0
intor00000155489370|ioreg00000155489370|FSDRS|100.0
intor00000153917892|ioreg00000153917892|ATLLG|100.0
intor00000155873917|ioreg00000155873917|CKVTN|100.0
intor00000150639296|ioreg00000150639296|TXKHI|100.0
intor00000150814894|ioreg00000150814894|YEGEM|100.0
intor00000157173289|ioreg00000157173289|RFDIL|100.0
intor00000157778697|ioreg00000157778697|SLRSS|100.0
intor00000156397506|ioreg00000156397506|MEXAI|30.0
intor00000156380825|ioreg00000156380825|LIMHA|30.0
intor00000151468829|ioreg00000151468829|TUSFA|100.0
intor00000157152696|ioreg00000157152696|SGHIL|60.0
intor00000151130960|ioreg00000151130960|XTYCR|150.0
intor00000157949046|ioreg00000157949046|RGGAR|100.0
intor00000155677859|ioreg00000155677859|MCORV|100.0
intor00000153762034|ioreg00000153762034|PHXWW|100.0
intor00000155677845|ioreg00000155677845|CHIDG|100.0
intor00000148513972|ioreg00000148513972|OLDFL|100.0
intor00000154922206|ioreg00000154922206|MLBQQ|100.0
intor00000155677847|ioreg00000155677847|LFTSC|100.0
intor00000156777943|ioreg00000156777943|BJXRR|100.0
intor00000154375517|ioreg00000154375517|DALSH|100.0
intor00000157801911|ioreg00000157801911|SYRDW|60.0
intor00000150715030|ioreg00000150715030|EKINO|100.0
intor00000156174039|ioreg00000156174039|EWNNB|50.0
intor00000153917970|ioreg00000153917970|ATLLG|50.0
intor00000156767597|ioreg00000156767597|SADNJ|60.0
intor00000154239960|ioreg00000154239960|CNTRX|50.0
intor00000156348539|ioreg00000156348539|YMQLV|30.0
intor00000153292035|ioreg00000153292035|RICBD|100.0
intor00000154887299|ioreg00000154887299|AUALB|30.0
intor00000146668934|ioreg00000146668934|ROCJR|100.0
intor00000148381737|ioreg00000148381737|STLEX|100.0
intor00000146192852|ioreg00000146192852|GJTMM|100.0
intor00000154240102|ioreg00000154240102|CNTRX|50.0
intor00000157450263|ioreg00000157450263|BJXGC|100.0
intor00000148449477|ioreg00000148449477|MZTMS|100.0
intor00000149871428|ioreg00000149871428|LNKCW|100.0
intor00000156374901|ioreg00000156374901|HOUTA|100.0
intor00000148569460|ioreg00000148569460|AUZYV|100.0
intor00000154239909|ioreg00000154239909|LAXAW|100.0
intor00000153087444|ioreg00000153087444|YCWCW|50.0
intor00000148632128|ioreg00000148632128|BWROH|100.0
intor00000156016357|ioreg00000156016357|ANCAA|100.0
intor00000150454185|ioreg00000150454185|MSYOF|100.0
intor00000157316755|ioreg00000157316755|CHSMT|100.0
intor00000149429245|ioreg00000149429245|ATLKR|100.0
intor00000155041937|ioreg00000155041937|BJXAP|100.0
intor00000153171340|ioreg00000153171340|MSNBH|50.0
intor00000157546826|ioreg00000157546826|MAZPR|60.0
intor00000150455272|ioreg00000150455272|MSYOF|100.0
intor00000157816856|ioreg00000157816856|CMEGS|100.0
intor00000156397569|ioreg00000156397569|MGAHA|100.0
intor00000156368046|ioreg00000156368046|HBITD|30.0
intor00000156067733|ioreg00000156067733|PSGMP|30.0
